ID,Responded,Previous,ControlPackage,PostalCode,Age,Income,Education,Reside,Gender,Married,Children,Region,Sequence
384, ,No, ,60220,54,25-49,Some high school or less,12,Male,No,0,North,6899
385, ,No, ,92380,57,50-74,College,7,Male,No,2,West,4212
386, ,No, ,11560,39,50-74,College,13,Male,Yes,2,East,7545
387, ,No, ,75170,48,75+,College,5,Male,Yes,2,South,3091
388, ,No, ,96650,58,50-74,Some college,10,Male,No,2,West,4687
389, ,Yes, ,10890,57,50-74,Some college,8,Female,No,1,East,8702
390, ,No, ,10000,45,75+,College,10,Male,No,0,East,9545
391, ,No, ,11800,31,25-49,Some high school or less,15,Male,Yes,2,East,7964
392,No,No,Control,10790,45,75+,Some high school or less,4,Male,Yes,3,East,7816
393, ,No, ,60000,32,25-49,High school,7,Female,Yes,1,North,5645
394, ,Yes, ,93410,47,<25,College,11,Female,No,0,West,698
395, ,No, ,10340,36,25-49,Some college,6,Female,Yes,1,East,8515
396, ,No, ,09280,56,50-74,Some high school or less,6,Female,No,1,East,8120
397, ,No, ,59890,42,75+,Some college,8,Female,No,1,North,4964
398,No,No,Test,76120,39,<25,College,11,Male,No,0,South,4057
399, ,No, ,09990,51,75+,College,6,Male,Yes,2,East,7717
400, ,No, ,75030,17,<25,Some college,13,Male,No,0,South,3750
401, ,No, ,73980,23,<25,College,10,Male,No,0,South,3436
402,No,No,Control,10160,16,<25,College,8,Male,No,0,East,9577
403, ,No, ,76140,38,<25,College,9,Female,Yes,1,South,2750
404, ,No, ,96720,37,50-74,High school,10,Female,Yes,0,West,1492
405, ,No, ,61620,50,25-49,High school,12,Male,Yes,2,North,6605
406, ,No, ,61760,50,75+,College,16,Female,Yes,0,North,6053
407, ,No, ,74580,40,50-74,Some college,10,Female,No,1,South,1841
408, ,Yes, ,75210,35,<25,College,9,Female,Yes,1,South,2523
409, ,No, ,74290,46,75+,College,3,Male,Yes,0,South,2859
410,No,No,Test,95810,37,<25,Some high school or less,9,Male,No,0,West,4179
411, ,No, ,59840,70,75+,Some high school or less,8,Male,Yes,3,North,6192
412,No,No,Test,62320,15,50-74,Some college,6,Male,No,0,North,5582
413, ,No, ,10740,42,75+,Some high school or less,8,Female,Yes,0,East,8653
414, ,No, ,61330,47,25-49,High school,6,Male,No,0,North,7167
415,No,No,Control,61790,72,75+,Some high school or less,13,Male,Yes,3,North,6638
416, ,No, ,92500,33,<25,Some college,9,Male,Yes,1,West,39
417, ,No, ,75580,40,25-49,Post-graduate,8,Female,Yes,1,South,2601
418, ,No, ,94960,58,75+,Some high school or less,9,Female,Yes,2,West,1052
419, ,No, ,60290,44,75+,Some high school or less,13,Male,No,0,North,6922
420,No,No,Test,09700,60,75+,High school,8,Female,Yes,2,East,8286
421,No,No,Test,10610,35,<25,Some college,10,Male,No,0,East,9968
422, ,No, ,75810,41,25-49,Some college,12,Female,Yes,0,South,2660
423,No,No,Test,96350,20,75+,Post-graduate,15,Male,Yes,1,West,378
424, ,No, ,95770,49,50-74,College,7,Female,Yes,2,West,1255
425, ,No, ,74710,40,25-49,Some high school or less,9,Female,No,0,South,1865
426, ,No, ,10810,30,50-74,High school,9,Female,No,2,East,8680
427, ,No, ,96570,30,75+,High school,15,Male,No,0,West,4565
428, ,No, ,10280,63,50-74,High school,11,Male,Yes,3,East,7754
429, ,No, ,60530,41,75+,Some college,3,Female,Yes,2,North,5770
430,No,No,Test,74660,52,75+,College,12,Female,Yes,0,South,2383
431, ,No, ,11660,34,25-49,Post-graduate,12,Female,No,1,East,9010
432, ,No, ,97400,39,<25,Some college,8,Male,No,0,West,4626
433, ,No, ,94130,18,25-49,Some high school or less,8,Male,No,0,West,4358
434, ,No, ,60370,61,75+,College,5,Female,No,3,North,5091
435, ,No, ,75640,44,25-49,Some college,10,Male,Yes,0,South,3215
436, ,No, ,95400,26,50-74,Some high school or less,10,Male,No,1,West,4469
437,No,No,Test,61860,50,75+,Some high school or less,7,Male,No,0,North,7311
438, ,No, ,10670,34,25-49,Some college,13,Male,No,1,East,9689
439, ,No, ,10310,43,50-74,Some high school or less,15,Female,No,2,East,8501
440, ,No, ,10150,37,50-74,High school,9,Female,No,3,East,9308
441, ,No, ,60720,30,75+,College,8,Female,Yes,1,North,5811
442,No,No,Test,96940,72,75+,College,4,Male,Yes,2,West,4905
443, ,No, ,95280,55,50-74,High school,13,Male,No,1,West,4941
444, ,No, ,75820,52,75+,Some college,11,Male,Yes,2,South,3968
445,No,No,Test,74320,47,50-74,High school,10,Male,No,0,South,3542
446, ,No, ,60860,54,75+,Some high school or less,14,Female,Yes,2,North,5841
447,No,No,Test,75960,41,50-74,Some college,3,Female,No,2,South,2149
448, ,No, ,60230,56,75+,Some high school or less,7,Female,No,2,North,5062
449, ,No, ,12030,48,<25,Some high school or less,5,Female,No,0,East,9125
450, ,No, ,12000,42,25-49,High school,8,Male,Yes,3,East,7559
451, ,No, ,10810,32,75+,Some college,10,Female,No,0,East,8678
452,No,No,Control,75800,33,<25,Some college,4,Male,Yes,0,South,3260
453,No,No,Test,61540,41,50-74,Some college,12,Female,No,1,North,6783
454, ,No, ,93140,45,75+,Post-graduate,10,Female,Yes,0,West,630
455, ,No, ,93490,50,50-74,Post-graduate,12,Male,Yes,2,West,118
456, ,No, ,61620,40,50-74,Some high school or less,6,Female,No,2,North,5378
457, ,No, ,09140,53,<25,Some college,4,Female,No,0,East,8074
458, ,No, ,10400,51,75+,College,15,Female,Yes,2,East,8539
459, ,No, ,12260,47,50-74,Some college,10,Male,Yes,3,East,7951
460, ,No, ,95870,33,25-49,Some high school or less,11,Female,No,1,West,1278
461, ,No, ,61680,38,75+,College,13,Male,No,0,North,7262
462,No,No,Test,61440,37,50-74,Post-graduate,8,Female,Yes,0,North,5984
463, ,No, ,92840,32,25-49,Post-graduate,12,Female,No,0,West,566
464, ,No, ,59820,52,75+,Some high school or less,10,Female,Yes,0,North,5585
465, ,No, ,74910,18,<25,Post-graduate,14,Female,No,0,South,1911
466,No,No,Control,61750,50,50-74,Some high school or less,12,Male,No,3,North,7283
467, ,No, ,74360,26,50-74,Post-graduate,13,Male,No,0,South,3555
468, ,No, ,96490,18,25-49,High school,3,Female,No,0,West,1426
469, ,No, ,10580,54,75+,Post-graduate,14,Male,Yes,2,East,7495
470,No,No,Control,76040,54,25-49,Post-graduate,8,Female,Yes,2,South,2726
471,No,No,Test,09540,74,75+,Some college,12,Male,Yes,2,East,7651
472, ,No, ,94160,63,50-74,College,13,Female,No,1,West,864
473, ,No, ,61420,45,25-49,Some high school or less,7,Female,Yes,0,North,5980
474, ,No, ,74350,41,50-74,High school,3,Female,Yes,3,South,2306
475, ,No, ,59850,53,75+,Some high school or less,10,Male,Yes,2,North,6198
476, ,No, ,10920,37,<25,Post-graduate,15,Female,No,0,East,8713
477, ,No, ,10080,37,75+,Post-graduate,12,Female,No,2,East,8423
478, ,No, ,61020,49,50-74,Post-graduate,8,Female,No,0,North,5242
479, ,No, ,93770,60,75+,Post-graduate,6,Female,Yes,0,West,776
480,No,No,Test,60090,44,75+,Post-graduate,9,Female,Yes,2,North,5662
481, ,No, ,62150,46,75+,College,8,Female,Yes,0,North,6149
482,No,No,Test,61390,80,75+,Some high school or less,12,Female,Yes,2,North,5974
483, ,No, ,95750,61,25-49,High school,7,Male,Yes,3,West,324
484, ,No, ,11150,34,50-74,Some college,7,Male,No,1,East,9346
485, ,No, ,92990,48,75+,Post-graduate,10,Male,Yes,3,West,80
486, ,Yes, ,62030,34,50-74,Some college,7,Female,No,1,North,5476
487, ,No, ,09940,35,25-49,Some college,12,Female,Yes,1,East,8359
488, ,No, ,12140,51,50-74,Some college,9,Female,No,1,East,9166
489,No,No,Test,96110,45,75+,Post-graduate,12,Female,No,1,West,1339
490, ,No, ,74500,44,50-74,College,8,Male,Yes,0,South,2916
491,No,No,Test,62310,42,50-74,Some college,12,Female,Yes,2,North,6182
492, ,No, ,09850,50,25-49,College,8,Male,No,1,East,9521
493, ,No, ,62320,43,<25,Some college,8,Female,No,0,North,5550
494, ,No, ,59920,61,50-74,Post-graduate,8,Male,No,0,North,6824
495,No,No,Control,94060,66,25-49,Post-graduate,15,Female,Yes,0,West,844
496,No,Yes,Control,75380,55,25-49,Post-graduate,11,Female,Yes,2,South,2559
497,No,No,Test,60190,44,75+,College,13,Female,Yes,0,North,5682
498, ,No, ,75470,23,50-74,College,13,Male,No,0,South,3875
499, ,No, ,96310,50,50-74,High school,8,Female,No,0,West,1385
500, ,No, ,61580,32,25-49,Some high school or less,9,Male,No,0,North,7232
501, ,No, ,75000,44,25-49,High school,12,Female,Yes,2,South,2461
502, ,Yes, ,62330,20,75+,College,19,Male,No,0,North,7429
503, ,No, ,61620,69,75+,Some college,14,Male,Yes,2,North,6602
504, ,No, ,74630,53,25-49,Some college,11,Female,Yes,0,South,2370
505, ,No, ,61220,41,50-74,Some high school or less,12,Male,No,0,North,5567
506, ,No, ,74730,23,25-49,Some high school or less,13,Female,No,0,South,1873
507, ,No, ,75010,44,75+,Some high school or less,8,Female,Yes,2,South,2462
508, ,No, ,61100,27,50-74,Post-graduate,11,Male,No,0,North,7113
509, ,No, ,74550,31,<25,Some college,7,Female,No,0,South,1829
510, ,No, ,75000,33,75+,Some high school or less,14,Male,No,0,South,3735
511, ,No, ,75960,34,75+,College,13,Female,Yes,0,South,2700
512,No,No,Control,60050,47,75+,Some college,12,Female,No,1,North,5007
513, ,Yes, ,61460,51,50-74,College,11,Male,Yes,3,North,6562
514, ,No, ,97060,16,<25,High school,9,Female,No,0,West,1562
515, ,No, ,61260,47,50-74,Post-graduate,10,Male,No,0,North,7148
516, ,No, ,60630,30,25-49,High school,6,Female,Yes,2,North,5786
517, ,No, ,61970,55,50-74,Some high school or less,8,Male,Yes,2,North,6684
518,No,No,Test,60320,20,<25,Some college,12,Female,No,0,North,5078
519,No,No,Control,74820,48,50-74,Some college,11,Male,Yes,0,South,3002
520, ,No, ,62000,40,<25,College,11,Male,Yes,0,North,6692
521, ,No, ,61650,50,50-74,Some high school or less,8,Male,No,0,North,7254
522, ,No, ,61430,35,75+,College,10,Male,No,0,North,7195
523, ,No, ,74920,46,25-49,Some high school or less,15,Male,No,1,South,3712
524, ,No, ,60770,41,75+,Post-graduate,11,Female,No,1,North,5186
525, ,No, ,12050,43,50-74,Post-graduate,14,Male,No,1,East,9920
526, ,No, ,12220,60,75+,Some college,10,Male,Yes,2,East,7945
527, ,No, ,94320,36,25-49,High school,5,Female,Yes,2,West,909
528, ,No, ,94520,28,<25,High school,10,Female,No,0,West,949
529,No,No,Control,74700,23,25-49,College,5,Male,Yes,1,South,2974
530, ,No, ,60760,20,<25,Some college,10,Female,No,0,North,5182
531, ,No, ,62250,28,<25,Some high school or less,9,Female,No,0,North,5534
532, ,No, ,75250,65,75+,Post-graduate,9,Female,No,2,South,1982
533,No,No,Test,61730,33,50-74,Some high school or less,6,Female,Yes,0,North,6048
534, ,No, ,75730,49,75+,High school,18,Female,Yes,2,South,2638
535, ,No, ,11820,62,75+,Some college,12,Male,Yes,2,East,7554
536, ,No, ,61730,53,50-74,Some high school or less,11,Female,No,2,North,5401
537, ,No, ,09410,25,<25,Some high school or less,12,Male,No,0,East,9448
538,No,No,Control,59960,51,25-49,Post-graduate,11,Female,No,1,North,4984
539, ,Yes, ,94270,49,75+,Post-graduate,17,Male,Yes,0,West,4796
540, ,No, ,96370,43,<25,Post-graduate,12,Male,No,0,West,4547
541, ,No, ,96350,35,50-74,Some college,9,Female,No,0,West,1394
542, ,No, ,75460,66,75+,Post-graduate,9,Female,Yes,2,South,2573
543, ,No, ,09040,33,<25,Post-graduate,12,Female,Yes,0,East,8043
544, ,No, ,74470,39,<25,Post-graduate,10,Male,Yes,0,South,2906
545, ,No, ,96100,46,75+,Some college,14,Female,No,2,West,1673
546, ,No, ,94250,51,25-49,College,12,Female,Yes,0,West,886
547, ,No, ,60100,45,<25,Some high school or less,11,Male,No,0,North,6865
548, ,No, ,95270,37,50-74,Some high school or less,10,Female,No,3,West,1136
549, ,No, ,94720,26,<25,High school,8,Male,No,0,West,4413
550,No,No,Test,09110,37,75+,Post-graduate,5,Female,Yes,2,East,8056
551,No,No,Control,10990,42,75+,Post-graduate,12,Male,No,0,East,9741
552, ,No, ,75550,48,75+,Some high school or less,8,Female,Yes,2,South,2596
553, ,No, ,76150,33,<25,Some college,12,Female,Yes,0,South,2756
554, ,No, ,62100,33,50-74,High school,5,Male,No,0,North,7370
555, ,No, ,61940,15,<25,College,12,Female,No,0,North,5451
556, ,No, ,61200,48,75+,High school,11,Male,No,0,North,7133
557,Yes,No,Test,11490,53,75+,High school,9,Female,Yes,2,East,8950
558, ,No, ,11700,48,75+,Some college,6,Female,No,0,East,9026
559,No,No,Test,10570,51,75+,High school,4,Female,Yes,3,East,8599
560, ,No, ,09330,52,75+,Some high school or less,15,Male,Yes,3,East,7629
561, ,No, ,75910,39,<25,College,15,Female,Yes,0,South,2689
562, ,No, ,09280,32,25-49,High school,6,Female,No,0,East,8118
563, ,No, ,12280,35,<25,Some college,8,Female,No,0,East,9216
564, ,No, ,11280,57,75+,College,13,Male,Yes,3,East,7860
565, ,No, ,10770,62,75+,College,12,Female,Yes,2,East,8665
566, ,No, ,09250,23,25-49,Post-graduate,9,Female,No,0,East,8109
567, ,No, ,76080,31,50-74,Some college,11,Female,Yes,0,South,2743
568, ,No, ,92970,26,75+,Post-graduate,5,Male,Yes,0,West,4741
569, ,No, ,62320,47,75+,Some college,4,Female,Yes,0,North,6187
570, ,No, ,76100,17,25-49,College,9,Male,No,0,South,4050
571, ,No, ,08990,37,75+,Some high school or less,8,Male,No,0,East,9376
572, ,No, ,60530,62,75+,Some high school or less,14,Female,Yes,0,North,5769
573, ,No, ,74680,48,75+,High school,7,Female,Yes,0,South,2390
574, ,No, ,97260,49,50-74,Post-graduate,13,Female,Yes,2,West,1614
575, ,No, ,09450,47,50-74,Post-graduate,9,Male,No,1,East,9457
576, ,No, ,60740,34,<25,High school,10,Female,No,0,North,5174
577, ,No, ,61920,42,75+,College,10,Male,No,0,North,7327
578, ,No, ,76100,25,25-49,Some high school or less,9,Male,No,0,South,4049
579, ,No, ,75530,50,75+,Some college,13,Female,No,2,South,2047
580, ,No, ,60860,46,75+,Some college,10,Female,Yes,2,North,5842
581, ,No, ,74690,47,75+,College,6,Female,Yes,2,South,2393
582, ,No, ,11330,56,75+,Some high school or less,10,Male,Yes,3,East,7866
583, ,No, ,10370,24,25-49,Post-graduate,10,Male,No,0,East,9254
584, ,No, ,93440,43,<25,Some college,6,Female,No,0,West,714
585, ,No, ,74510,40,50-74,Post-graduate,9,Male,No,0,South,3591
586,No,No,Test,60750,55,75+,Some high school or less,5,Female,No,3,North,5175
587, ,No, ,61610,74,75+,Some college,8,Female,Yes,2,North,6018
588,No,No,Control,61940,15,25-49,Some high school or less,11,Female,No,0,North,5448
589, ,No, ,11750,30,<25,Post-graduate,13,Female,No,0,East,9050
590,No,No,Control,10190,46,50-74,Post-graduate,4,Male,Yes,2,East,7741
591, ,No, ,96080,59,25-49,College,7,Male,Yes,3,West,4185
592, ,No, ,10190,53,25-49,Some college,12,Male,Yes,2,East,9584
593, ,No, ,74010,51,75+,Post-graduate,9,Male,Yes,2,South,2796
594, ,No, ,09460,44,25-49,High school,5,Female,No,1,East,8194
595, ,No, ,10810,46,<25,High school,10,Female,No,0,East,8679
596, ,No, ,93160,54,50-74,Some high school or less,10,Male,No,1,West,4285
597, ,No, ,62130,60,75+,College,3,Male,Yes,2,North,6718
598, ,No, ,75730,29,50-74,High school,7,Female,No,1,South,2102
599, ,No, ,11500,58,25-49,Some college,9,Female,Yes,2,East,8952
600, ,No, ,93030,45,25-49,Post-graduate,9,Male,Yes,3,West,82
601,No,No,Control,61650,35,<25,Some college,11,Female,No,0,North,5386
602, ,No, ,10870,37,25-49,High school,11,Male,No,0,East,9718
603, ,No, ,62290,27,50-74,Some college,10,Male,No,0,North,7424
604, ,No, ,76050,42,<25,Some high school or less,8,Female,No,0,South,2173
605, ,Yes, ,11630,32,75+,College,14,Male,Yes,1,East,7895
606, ,No, ,11710,24,25-49,Some college,5,Female,No,0,East,9997
607, ,No, ,96010,47,25-49,Some high school or less,8,Female,No,0,West,1316
608, ,No, ,60860,27,50-74,Post-graduate,8,Male,Yes,0,North,6416
609, ,No, ,11310,51,75+,Post-graduate,12,Female,Yes,3,East,8868
610, ,No, ,11540,36,<25,Some college,9,Female,No,0,East,8965
611, ,No, ,11920,52,25-49,Some college,5,Male,No,1,East,9894
612, ,No, ,74220,48,25-49,High school,9,Male,Yes,2,South,2841
613, ,No, ,92560,52,50-74,High school,7,Male,Yes,3,West,42
614, ,No, ,09280,53,75+,Post-graduate,7,Male,Yes,2,East,7624
615, ,No, ,74560,57,50-74,Some high school or less,8,Male,Yes,2,South,2930
616, ,No, ,75320,28,<25,Post-graduate,10,Male,No,0,South,3825
617, ,No, ,11140,72,50-74,Some college,11,Male,Yes,2,East,7533
618, ,No, ,93600,56,75+,High school,10,Male,Yes,3,West,129
619, ,No, ,11620,47,25-49,Some high school or less,15,Female,Yes,2,East,8990
620, ,No, ,59940,53,75+,Some high school or less,8,Male,Yes,2,North,6219
621, ,No, ,61670,59,25-49,High school,11,Male,Yes,0,North,6614
622, ,No, ,11050,42,25-49,High school,14,Male,Yes,2,East,9755
623, ,No, ,11410,42,50-74,Some college,7,Female,No,0,East,8916
624, ,No, ,61010,52,75+,College,5,Female,Yes,2,North,5872
625, ,No, ,74210,53,50-74,High school,12,Female,Yes,3,South,2278
626, ,No, ,75990,22,25-49,Some high school or less,12,Female,No,0,South,2157
627, ,No, ,61860,35,75+,Some college,6,Female,No,2,North,5425
628, ,No, ,10310,48,75+,Some college,10,Female,Yes,0,East,8508
629, ,No, ,11470,52,75+,Post-graduate,9,Female,Yes,2,East,8941
630, ,No, ,74890,48,75+,Some college,7,Male,No,0,South,3699
631, ,Yes, ,75730,57,25-49,High school,5,Male,Yes,2,South,3237
632, ,No, ,60010,21,75+,Some college,9,Male,No,0,North,6843
633, ,No, ,74780,42,75+,College,10,Male,No,0,South,3667
634, ,No, ,75240,35,<25,Post-graduate,10,Female,Yes,0,South,2529
635, ,No, ,76200,35,50-74,High school,2,Female,No,1,South,2212
636, ,No, ,75750,36,75+,Some college,10,Female,Yes,0,South,2643
637, ,No, ,10890,37,25-49,Some high school or less,8,Female,Yes,2,East,8706
638, ,No, ,74140,42,50-74,High school,8,Female,No,3,South,3388
639, ,No, ,96980,59,50-74,College,12,Male,Yes,3,West,4906
640, ,No, ,11980,22,<25,Post-graduate,15,Female,Yes,0,East,9107
641, ,No, ,74390,40,50-74,High school,4,Male,Yes,0,South,2886
642, ,No, ,93620,57,50-74,Some high school or less,5,Male,No,2,West,4318
643, ,No, ,93450,49,25-49,Post-graduate,12,Female,Yes,0,West,6
644, ,No, ,96520,14,25-49,High school,11,Male,No,0,West,4196
645, ,No, ,60970,47,25-49,Post-graduate,7,Female,Yes,2,North,5867
646, ,No, ,75810,38,25-49,Some college,7,Male,Yes,0,South,3264
647, ,No, ,09400,51,75+,Post-graduate,14,Female,Yes,0,East,8168
648,No,No,Control,76000,54,75+,High school,8,Male,Yes,2,South,3313
649, ,No, ,10010,34,<25,High school,15,Female,No,0,East,8385
650, ,No, ,95140,46,75+,Post-graduate,12,Male,Yes,3,West,261
651, ,No, ,62050,50,<25,Post-graduate,12,Female,No,0,North,5479
652, ,No, ,61970,53,25-49,College,5,Female,No,1,North,5461
653, ,No, ,75670,50,75+,Some college,10,Female,No,1,South,2089
654, ,No, ,60410,71,75+,Some college,5,Male,Yes,3,North,6312
655,No,No,Test,75090,19,75+,College,14,Female,No,0,South,1951
656, ,No, ,95220,43,75+,High school,8,Male,Yes,2,West,4829
657, ,No, ,60840,53,<25,Some high school or less,6,Male,No,0,North,7060
658, ,No, ,61090,46,25-49,Some college,10,Male,Yes,2,North,6481
659, ,No, ,93630,26,25-49,Some high school or less,10,Male,No,0,West,4123
660, ,No, ,10290,52,50-74,College,8,Female,Yes,3,East,8494
661, ,No, ,74800,32,25-49,High school,10,Male,Yes,1,South,2991
662, ,No, ,94560,53,75+,Post-graduate,10,Female,Yes,2,West,962
663,No,No,Control,62010,37,75+,Post-graduate,7,Female,No,1,North,5467
664, ,No, ,74350,57,25-49,Some college,7,Female,Yes,2,South,2305
665, ,No, ,61010,53,25-49,High school,9,Female,Yes,2,North,5873
666, ,No, ,11410,48,50-74,Some high school or less,13,Male,No,2,East,7879
667, ,No, ,96770,60,50-74,Some college,5,Male,No,2,West,412
668, ,No, ,11140,64,75+,College,5,Male,Yes,2,East,7847
669, ,No, ,75450,32,25-49,Some high school or less,9,Male,No,1,South,3867
670, ,No, ,93300,33,25-49,High school,6,Male,No,0,West,4111
671,No,No,Control,74890,27,25-49,Some high school or less,15,Female,No,1,South,1908
672, ,No, ,74600,53,75+,College,7,Female,Yes,2,South,2364
673,No,No,Test,94600,25,75+,Post-graduate,6,Female,No,0,West,968
674, ,No, ,61050,47,75+,Post-graduate,9,Female,Yes,0,North,5884
675, ,No, ,73990,29,25-49,Some high school or less,9,Female,No,0,South,1690
676, ,No, ,96690,51,25-49,Some college,8,Female,No,1,West,1485
677, ,No, ,92590,51,50-74,Post-graduate,6,Male,No,1,West,4093
678, ,No, ,11110,51,75+,Some college,10,Male,Yes,2,East,7844
679, ,No, ,74200,33,<25,High school,10,Female,No,0,South,1750
680, ,No, ,12080,35,50-74,College,5,Female,Yes,0,East,9143
681, ,No, ,93460,35,50-74,Some high school or less,9,Male,Yes,2,West,116
682, ,No, ,96040,31,50-74,Some high school or less,10,Female,No,0,West,1326
